,CV,best params,best ROC_AUC,mean,stdev
0,0,{'loss': 'squared_error'},0.871,0.746,0.213
1,1,{'loss': 'poisson'},0.833,0.72,0.19
2,2,{'loss': 'squared_error'},0.811,0.706,0.178
3,3,{'loss': 'squared_error'},0.879,0.753,0.219
4,4,{'loss': 'squared_error'},0.864,0.741,0.209
