,fit_time,score_time,estimator,test_score,coefs
0,0.013203144073486328,0.001834869384765625,LogisticRegression(),0.8724447646493757,[[1.27063122 2.51891921 1.76387876]]
1,0.009118080139160156,0.0014719963073730469,LogisticRegression(),0.824086842578739,[[1.14429333 2.75210192 1.56307074]]
2,0.00850820541381836,0.001425027847290039,LogisticRegression(),0.8183049539814881,[[1.14177523 2.76877185 1.64175287]]
3,0.008134126663208008,0.00131988525390625,LogisticRegression(),0.861523560266164,[[1.27876816 2.55006753 1.75633764]]
4,0.010187864303588867,0.0012192726135253906,LogisticRegression(),0.8649284539464375,[[1.11679069 2.65125957 1.75257143]]
