,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_loss,param_max_depth,param_max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,0.07907109260559082,0.014479591364154701,0.00798659324645996,0.001557777869317207,poisson,5,,"{'loss': 'poisson', 'max_depth': 5, 'max_leaf_nodes': None}",0.8644062485705136,0.826593897369368,0.8153560259331563,0.8799713353707437,0.858886573384936,0.8490428161257435,0.02420025496957009,26
37,0.060013771057128906,0.006450367009831675,0.007419013977050781,0.001207493085249603,poisson,5,5,"{'loss': 'poisson', 'max_depth': 5, 'max_leaf_nodes': 5}",0.8773198847262249,0.8332059880494688,0.8182576187895685,0.8831317597589787,0.8690652319346357,0.8561960966517754,0.025710823435333947,1
38,0.05882863998413086,0.013728682330309218,0.007798576354980468,0.001384775045241944,poisson,5,10,"{'loss': 'poisson', 'max_depth': 5, 'max_leaf_nodes': 10}",0.8743582178308404,0.831907480445446,0.8185889651330065,0.8820092875566249,0.8639668469137451,0.8541661595759326,0.024658459098962734,12
39,0.06174778938293457,0.012695265303349796,0.008154582977294923,0.0019661181462957,poisson,5,15,"{'loss': 'poisson', 'max_depth': 5, 'max_leaf_nodes': 15}",0.8728452495311285,0.8290432472869832,0.8129307774506027,0.8799499317250796,0.8655946172645534,0.8520727646516695,0.02628279628308067,24
40,0.1492288589477539,0.016679832951138982,0.010971164703369141,0.0012946583421991563,poisson,10,,"{'loss': 'poisson', 'max_depth': 10, 'max_leaf_nodes': None}",0.8523102785782901,0.8139659996969755,0.7973672927969984,0.8699351930121161,0.8380809968565242,0.8343319521881808,0.026023160367879345,27
41,0.06455678939819336,0.006775539750201929,0.007776641845703125,0.0010558696036746297,poisson,10,5,"{'loss': 'poisson', 'max_depth': 10, 'max_leaf_nodes': 5}",0.8760777183111477,0.8326274597072024,0.8173590662670924,0.8830762186531418,0.8672093699804282,0.8552699665838025,0.025685089137623164,4
42,0.059182262420654295,0.01303727270092376,0.007939767837524415,0.0007201453826785035,poisson,10,10,"{'loss': 'poisson', 'max_depth': 10, 'max_leaf_nodes': 10}",0.8744593111019624,0.8303444181928373,0.8196665208525122,0.8827023321845807,0.8620764599277578,0.85384980845193,0.024681564140330986,15
43,0.0583615779876709,0.007460906984824307,0.008082866668701172,0.0018767416879943847,poisson,10,15,"{'loss': 'poisson', 'max_depth': 10, 'max_leaf_nodes': 15}",0.8691798179406248,0.8298244824908618,0.816237983934327,0.8810209268049504,0.8663417163129078,0.8525209854967344,0.024949402415014817,21
44,0.22468371391296388,0.018561484954041623,0.014172601699829101,0.0015852279485734156,poisson,15,,"{'loss': 'poisson', 'max_depth': 15, 'max_leaf_nodes': None}",0.8435272860344906,0.8075867999659099,0.796316669169447,0.8571935214686695,0.82814967337056,0.8265547900018154,0.022376191534361645,29
45,0.05821633338928223,0.014027070364457305,0.007129383087158203,0.001903884241259511,poisson,15,5,"{'loss': 'poisson', 'max_depth': 15, 'max_leaf_nodes': 5}",0.8755786560541603,0.8324037423533645,0.8176656568492391,0.877148492533108,0.8702588924596197,0.8546110880498983,0.0247004387863295,9
46,0.0571326732635498,0.015460429868125637,0.007815074920654298,0.0026030612371750338,poisson,15,10,"{'loss': 'poisson', 'max_depth': 15, 'max_leaf_nodes': 10}",0.8732759251635334,0.8312052565292324,0.813890811314308,0.8840401955046926,0.8702588924596197,0.8545342161942772,0.02707488368615895,10
47,0.06400561332702637,0.011692862559060609,0.008678245544433593,0.00205153283372831,poisson,15,15,"{'loss': 'poisson', 'max_depth': 15, 'max_leaf_nodes': 15}",0.8699796441150908,0.8284019833904661,0.8155807320741084,0.8821079068860134,0.8691801267125264,0.853050078635641,0.026086880042953384,19
