,CV,best params,best ROC_AUC,mean,stdev
0,0,"{'max_depth': 5, 'n_estimators': 10}",0.855,0.815,0.046
1,1,"{'max_depth': 5, 'n_estimators': 15}",0.89,0.825,0.074
2,2,"{'max_depth': 5, 'n_estimators': 15}",0.86,0.81,0.058
3,3,"{'max_depth': 5, 'n_estimators': 15}",0.86,0.805,0.062
4,4,"{'max_depth': 5, 'n_estimators': 15}",0.871,0.813,0.066
