,CV,best params,best ROC_AUC,mean,stdev
0,0,{'loss': 'squared_error'},0.85,0.733,0.202
1,1,{'loss': 'squared_error'},0.89,0.758,0.224
2,2,{'loss': 'poisson'},0.859,0.738,0.206
3,3,{'loss': 'poisson'},0.857,0.737,0.205
4,4,{'loss': 'squared_error'},0.869,0.744,0.211
