,CV,best params,best ROC_AUC,mean,stdev
0,0,{'alpha': 0.05},0.853,0.852,0.001
1,1,{'alpha': 0.05},0.887,0.887,0.001
2,2,{'alpha': 0.05},0.861,0.86,0.001
3,3,{'alpha': 0.0001},0.858,0.857,0.0
4,4,{'alpha': 0.0001},0.873,0.872,0.002
