,params,mean,+/ std
46,"{'bootstrap': True, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 100}",0.5,0.0
47,"{'bootstrap': True, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 200}",0.5,0.0
48,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': None, 'n_estimators': 10}",0.5,0.0
49,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': None, 'n_estimators': 50}",0.5,0.0
50,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': None, 'n_estimators': 100}",0.5,0.0
51,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': None, 'n_estimators': 200}",0.5,0.0
52,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 5, 'n_estimators': 10}",0.5,0.0
53,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 5, 'n_estimators': 50}",0.5,0.0
54,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 5, 'n_estimators': 100}",0.5,0.0
55,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 5, 'n_estimators': 200}",0.5,0.0
56,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 10, 'n_estimators': 10}",0.5,0.0
57,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 10, 'n_estimators': 50}",0.5,0.0
58,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 10, 'n_estimators': 100}",0.5,0.0
59,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 10, 'n_estimators': 200}",0.5,0.0
60,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 15, 'n_estimators': 10}",0.5,0.0
61,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 15, 'n_estimators': 50}",0.5,0.0
62,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 15, 'n_estimators': 100}",0.5,0.0
63,"{'bootstrap': True, 'ccp_alpha': 0.75, 'max_depth': 15, 'n_estimators': 200}",0.5,0.0
64,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 10}",0.7104674383224161,0.02416001245426903
65,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 50}",0.7522009520307789,0.023628234093690123
66,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 100}",0.7602440552803681,0.016869304358209852
67,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': None, 'n_estimators': 200}",0.7688322561248431,0.0187290134523315
68,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 10}",0.8648927623998203,0.026064268717671642
69,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 50}",0.8659252416147766,0.024785490606156046
70,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 100}",0.866761140159775,0.023725827794530224
71,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 200}",0.8665047672047173,0.024414466005519275
72,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 10}",0.8556834124919165,0.027394587694089534
73,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 50}",0.8602395329320164,0.025324520634619305
74,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 100}",0.8606784406044057,0.024388853606721793
75,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 10, 'n_estimators': 200}",0.8609694874836951,0.024934549467674944
76,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 15, 'n_estimators': 10}",0.8097941836054299,0.027830785800339645
77,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 15, 'n_estimators': 50}",0.8315909785817654,0.02508440057065648
78,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 15, 'n_estimators': 100}",0.8332978708057321,0.02332852829195358
79,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 15, 'n_estimators': 200}",0.8338984292842252,0.023809553964016617
80,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': None, 'n_estimators': 10}",0.5,0.0
81,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': None, 'n_estimators': 50}",0.5,0.0
82,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': None, 'n_estimators': 100}",0.5,0.0
83,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': None, 'n_estimators': 200}",0.5,0.0
84,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 5, 'n_estimators': 10}",0.5,0.0
85,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 5, 'n_estimators': 50}",0.5,0.0
86,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 5, 'n_estimators': 100}",0.5,0.0
87,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 5, 'n_estimators': 200}",0.5,0.0
88,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 10, 'n_estimators': 10}",0.5,0.0
89,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 10, 'n_estimators': 50}",0.5,0.0
90,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 10, 'n_estimators': 100}",0.5,0.0
91,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 10, 'n_estimators': 200}",0.5,0.0
92,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 15, 'n_estimators': 10}",0.5,0.0
93,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 15, 'n_estimators': 50}",0.5,0.0
94,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 15, 'n_estimators': 100}",0.5,0.0
95,"{'bootstrap': False, 'ccp_alpha': 0.25, 'max_depth': 15, 'n_estimators': 200}",0.5,0.0
96,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': None, 'n_estimators': 10}",0.5,0.0
97,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': None, 'n_estimators': 50}",0.5,0.0
98,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': None, 'n_estimators': 100}",0.5,0.0
99,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': None, 'n_estimators': 200}",0.5,0.0
100,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 5, 'n_estimators': 10}",0.5,0.0
101,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 5, 'n_estimators': 50}",0.5,0.0
102,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 5, 'n_estimators': 100}",0.5,0.0
103,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 5, 'n_estimators': 200}",0.5,0.0
104,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 10, 'n_estimators': 10}",0.5,0.0
105,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 10, 'n_estimators': 50}",0.5,0.0
106,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 10, 'n_estimators': 100}",0.5,0.0
107,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 10, 'n_estimators': 200}",0.5,0.0
108,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 10}",0.5,0.0
109,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 50}",0.5,0.0
110,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 100}",0.5,0.0
111,"{'bootstrap': False, 'ccp_alpha': 0.5, 'max_depth': 15, 'n_estimators': 200}",0.5,0.0
