,fit_time,score_time,estimator,test_score,coefs
0,0.2132434844970703,0.005427837371826172,LogisticRegression(),0.8359096575200166,[[1.08338696 2.67138017 2.29213295]]
1,0.07747340202331543,0.0052449703216552734,LogisticRegression(),0.8692143533967783,[[1.25680593 2.64853046 2.08497133]]
2,0.08477568626403809,0.005232334136962891,LogisticRegression(),0.8678041264233904,[[1.10189276 2.64645719 2.29622699]]
3,0.07688617706298828,0.005378007888793945,LogisticRegression(),0.8815589473023052,[[1.16963504 2.55898461 2.24118455]]
4,0.0770573616027832,0.005218505859375,LogisticRegression(),0.8917090197039844,[[1.29212283 2.55011455 2.22556679]]
5,0.07623624801635742,0.005395174026489258,LogisticRegression(),0.8518463992148203,[[1.2043437  2.60669476 2.23704149]]
6,0.07744884490966797,0.005228996276855469,LogisticRegression(),0.8419651242726156,[[1.24740391 2.67797159 2.27104615]]
7,0.07685232162475586,0.005204677581787109,LogisticRegression(),0.8437126765399661,[[1.19784879 2.640216   2.27215304]]
8,0.07661914825439453,0.0052645206451416016,LogisticRegression(),0.8833358809284035,[[1.25379086 2.61439169 2.1294735 ]]
9,0.07352352142333984,0.005193233489990234,LogisticRegression(),0.8682917404106996,[[1.34365054 2.61489337 2.18719163]]
