,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.17531556802244042,0.08172129803872832,0.654,0.128
1,ispred,0.2512522540573031,0.16914734386718136,0.668,0.158
2,dockpred,0.22059707473452214,0.13385397972007498,0.675,0.16
3,logisticregresion,0.25986776197154876,0.1790663939215969,0.695,0.175
4,linearregression,0.25846523742736927,0.17745166484297112,0.69,0.174
5,randomforest,0.18693648567421356,0.09510048183305622,0.641,0.13
