,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.3367983367983368,0.2770958994509586,0.665,0.235
1,ispred,0.37006237006237,0.3136680269599446,0.816,0.358
2,dockpred,0.262993762993763,0.19595149154039593,0.652,0.152
3,logisticregresion,0.37110187110187104,0.3148109059446004,0.841,0.325
4,linearregression,0.3783783783783784,0.32281105883719113,0.843,0.328
5,randomforest,0.40644490644490644,0.35366879142289803,0.846,0.372
