,CV,best params,best ROC_AUC,mean,stdev
0,0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 100}",0.868,0.583,0.146
1,1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 50}",0.881,0.585,0.15
2,2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 100}",0.872,0.582,0.145
3,3,"{'bootstrap': True, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 100}",0.82,0.572,0.127
4,4,"{'bootstrap': False, 'ccp_alpha': 0.0, 'max_depth': 5, 'n_estimators': 50}",0.838,0.577,0.134
