,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.3367983367983368,0.2770958994509586,0.665,0.235
1,ispred,0.37006237006237,0.3136680269599446,0.816,0.358
2,dockpred,0.262993762993763,0.19595149154039593,0.652,0.152
3,logisticregresion,0.3804573804573804,0.3250968168065027,0.842,0.329
4,linearregression,0.3783783783783784,0.32281105883719113,0.843,0.328
5,randomforest,0.40852390852390846,0.35595454939220966,0.846,0.37
