,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.40756558877364246,0.34819716413202184,0.726,0.349
1,ispred,0.4112263575350824,0.35231433082691666,0.823,0.346
2,dockpred,0.3929225137278829,0.33172849735244264,0.802,0.33
3,logisticregresion,0.4795607077486272,0.4291681091316196,0.879,0.437
4,linearregression,0.48078096400244047,0.4305404980299179,0.881,0.441
5,randomforest,0.35631482611348386,0.2905568304034946,0.785,0.259
