,predus_fpr,predus_tpr,ispred_fpr,ispred_tpr,dockpred_fpr,dockpred_tpr
0,1.0,0.07101273374339141,1.0,0.07101273374339141,1.0,0.07101273374339141
1,0.5321552723059096,0.20580327134214654,0.880648899188876,0.10679407011873815,0.9892815758980301,0.07681234395735397
2,0.5254924681344149,0.2054825555052107,0.8473348783314021,0.13133671590858068,0.9892815758980301,0.07716990938467448
3,0.5254924681344149,0.2055757026291931,0.8151796060254924,0.14777083442734862,0.9892815758980301,0.07742359662646232
4,0.5252027809965237,0.2062805779952213,0.7914252607184241,0.15952353147261475,0.9892815758980301,0.07760129070375167
5,0.5252027809965237,0.20630405097860718,0.7746234067207416,0.1686640595433329,0.9892815758980301,0.07781524859864193
6,0.5240440324449595,0.20817031070195627,0.761297798377752,0.176281191306681,0.9889918887601391,0.07808247375523181
7,0.5237543453070683,0.20846304623544332,0.7549246813441484,0.18389669042410556,0.9889918887601391,0.078369258315543
8,0.5234646581691773,0.20858824887452385,0.7450753186558516,0.1900679869937925,0.9889918887601391,0.07852427720403891
9,0.5231749710312862,0.20958570268074736,0.7381228273464658,0.19668081821690467,0.9889918887601391,0.07867265814033875
10,0.522595596755504,0.21025641025641026,0.7329084588644265,0.20238380929525637,0.9889918887601391,0.07890175414268875
11,0.5205677867902665,0.2106929300035174,0.7213209733487833,0.2062624254473161,0.9889918887601391,0.0790936891854323
12,0.5205677867902665,0.21081651806663537,0.7143684820393974,0.2106791969243913,0.9889918887601391,0.07921297477899719
13,0.5199884125144844,0.21174943966025717,0.7085747392815759,0.21473092792555526,0.9869640787949016,0.07914604966664343
14,0.5199884125144844,0.21187440982058545,0.7027809965237544,0.21816546762589928,0.9866743916570104,0.0792885909164979
15,0.5194090382387022,0.2123652730072249,0.6955388180764774,0.22165805022156573,0.9866743916570104,0.07953112595152477
16,0.5176709154113557,0.21357714832078403,0.6903244495944381,0.22553473405262162,0.9866743916570104,0.07971540243873897
17,0.5173812282734647,0.21468926553672316,0.6839513325608343,0.2283365570599613,0.9866743916570104,0.07987617551183133
18,0.5165121668597914,0.2148969507050741,0.6784472769409038,0.2315831108474241,0.9866743916570104,0.07997745790969076
19,0.5162224797219004,0.21597382135498727,0.6741019698725377,0.234316785822173,0.984936268829664,0.08014142604596347
20,0.5162224797219004,0.21652490886998785,0.6688876013904983,0.23686910135412392,0.984936268829664,0.08027008522794343
21,0.5144843568945539,0.21961172251762087,0.6636732329084588,0.23981995184758714,0.984936268829664,0.08032697805183453
22,0.5144843568945539,0.21985640009903443,0.656720741599073,0.24150420794716096,0.984936268829664,0.08047908727246905
23,0.5139049826187717,0.2199628022318661,0.652954808806489,0.24492013473867216,0.984936268829664,0.08061265618702136
24,0.5139049826187717,0.2203452987206558,0.6471610660486674,0.24715123354353358,0.984936268829664,0.08072749721015267
25,0.5136152954808807,0.22093457943925235,0.6431054461181923,0.2496626180836707,0.984936268829664,0.08085612366230678
