,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.17295293359123146,0.07888131851014138,0.652,0.127
1,ispred,0.2554803352675693,0.174029455857052,0.674,0.161
2,dockpred,0.22114764667956158,0.13444634403109115,0.679,0.161
3,logisticregresion,0.24838813668600904,0.16585266280380187,0.701,0.17
4,linearregression,0.24290780141843973,0.15953423180810858,0.699,0.167
5,randomforest,0.19954867827208253,0.10954429245982937,0.651,0.136
