,CV,best params,best ROC_AUC,mean,stdev
0,0,"{'loss': 'squared_error', 'max_depth': 10, 'max_leaf_nodes': 5}",0.878,0.745,0.176
1,1,"{'loss': 'squared_error', 'max_depth': None, 'max_leaf_nodes': 5}",0.837,0.717,0.156
2,2,"{'loss': 'poisson', 'max_depth': 10, 'max_leaf_nodes': 10}",0.82,0.708,0.149
3,3,"{'loss': 'poisson', 'max_depth': 15, 'max_leaf_nodes': 10}",0.884,0.751,0.18
4,4,"{'loss': 'squared_error', 'max_depth': 10, 'max_leaf_nodes': 5}",0.871,0.738,0.171
