,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.41315789473684206,0.35053747817371955,0.73,0.361
1,ispred,0.4223684210526316,0.3609551176480175,0.824,0.363
2,dockpred,0.4092105263157895,0.34607277554187754,0.815,0.345
3,logisticregresion,0.4960526315789473,0.44429623344240127,0.883,0.458
4,linearregression,0.4986842105263158,0.4472727018636293,0.885,0.461
5,randomforest,0.5105263157894738,0.46066680975915525,0.892,0.488
6,xgboost,0.5078947368421053,0.45769034133792724,0.893,0.473
