,predictor,f-score,mcc,roc_auc,pr_auc
0,predus,0.3367983367983368,0.2770958994509586,0.665,0.235
1,ispred,0.37006237006237,0.3136680269599446,0.816,0.358
2,dockpred,0.262993762993763,0.19595149154039593,0.652,0.152
3,logisticregresion,0.3742203742203742,0.3182395428985679,0.841,0.326
4,linearregression,0.3721413721413721,0.31595378492925624,0.842,0.324
5,randomforest,0.4033264033264033,0.3502401544689306,0.846,0.369
6,xgboost,0.422037422037422,0.37081197619273526,0.853,0.435
