,CV,best params,best ROC_AUC,mean,stdev
0,0,{'loss': 'poisson'},0.832,0.721,0.191
1,1,{'loss': 'poisson'},0.881,0.753,0.219
2,2,{'loss': 'squared_error'},0.877,0.75,0.216
3,3,{'loss': 'squared_error'},0.879,0.75,0.217
4,4,{'loss': 'squared_error'},0.895,0.761,0.226
5,5,{'loss': 'squared_error'},0.867,0.743,0.21
6,6,{'loss': 'poisson'},0.845,0.729,0.199
7,7,{'loss': 'squared_error'},0.845,0.729,0.199
8,8,{'loss': 'squared_error'},0.881,0.753,0.219
9,9,{'loss': 'squared_error'},0.872,0.747,0.214
